category,total_reviews,product_count,avg_reviews_per_product
,3252,636,5.113207547169812
view all,1890,376,5.026595744680851
sale,1665,343,4.854227405247814
view all brands,1584,285,5.557894736842106
pants,963,141,6.829787234042553
clearance,761,166,4.5843373493975905
outfits you'll love,610,108,5.648148148148148
jeans,602,100,6.02
tops,333,78,4.269230769230769
shorts,328,72,4.555555555555555
essentials,314,47,6.680851063829787
all brands,272,61,4.459016393442623
search-results,251,68,3.6911764705882355
coats & jackets,249,47,5.297872340425532
deals,224,43,5.209302325581396
